step,sigma,unweighted_mse
750,0.5351,0.01679
751,0.0739,0.00119
751,28.5196,0.41081
751,0.1621,0.00386
751,0.1144,0.00169
751,0.4475,0.01002
751,0.1260,0.00124
751,0.4533,0.01917
751,0.7300,0.02583
752,0.2141,0.00270
752,0.3575,0.01251
752,0.0746,0.00071
752,0.0234,0.00014
752,0.1227,0.00240
752,0.3154,0.00918
752,0.1932,0.00369
752,0.7004,0.01526
753,2.6026,0.04979
753,2.8051,0.15732
753,2.0932,0.15601
753,0.2235,0.00526
753,0.2376,0.00729
753,0.0560,0.00041
753,0.6971,0.02053
753,0.4131,0.00930
754,1.9185,0.13763
754,0.2033,0.00325
754,5.4878,0.21610
754,1.6729,0.06784
754,0.7540,0.05719
754,0.9004,0.03889
754,0.1828,0.00419
754,0.1597,0.00402
755,0.8382,0.03485
755,0.2318,0.00610
755,0.7328,0.01577
755,0.0779,0.00158
755,0.1347,0.00129
755,0.1646,0.00300
755,1.3937,0.09931
755,0.1253,0.00273
756,0.0539,0.00043
756,0.0729,0.00095
756,0.1601,0.00253
756,1.7511,0.13098
756,0.4096,0.01666
756,0.0871,0.00114
756,0.1880,0.00372
756,0.6113,0.02256
757,0.3239,0.00724
757,0.4402,0.00764
757,0.4931,0.01473
757,0.3373,0.00934
757,0.1197,0.00111
757,0.2076,0.00439
757,0.4564,0.01494
757,0.5046,0.01174
758,0.5227,0.02067
758,6.4862,0.28249
758,0.0459,0.00036
758,0.0965,0.00144
758,1.5109,0.14024
758,0.4520,0.00952
758,0.6578,0.02711
758,0.4298,0.01551
759,0.0875,0.00101
759,0.1081,0.00176
759,2.0591,0.08007
759,0.1335,0.00236
759,0.1532,0.00279
759,0.0882,0.00169
759,0.0102,0.00006
759,1.1809,0.06895
760,0.4497,0.00976
760,0.0660,0.00070
760,0.2819,0.00696
760,0.5213,0.02469
760,0.1211,0.00220
760,0.3273,0.00629
760,4.3182,0.22276
760,0.1990,0.00419
761,0.0940,0.00133
761,0.1525,0.00301
761,0.5423,0.01347
761,2.0784,0.14978
761,0.6719,0.02239
761,1.0692,0.05639
761,1.6540,0.12353
761,0.0575,0.00108
762,0.2440,0.01099
762,0.6556,0.01119
762,0.2982,0.00417
762,0.2592,0.00733
762,0.9141,0.03336
762,0.2393,0.00686
762,0.6862,0.01811
762,0.0798,0.00132
763,0.0728,0.00128
763,0.0591,0.00086
763,0.8268,0.02090
763,0.2650,0.00686
763,0.1231,0.00295
763,0.3129,0.00555
763,1.1398,0.05325
763,0.9008,0.05132
764,1.9991,0.08120
764,0.2443,0.00561
764,0.7669,0.03978
764,0.0388,0.00044
764,0.2525,0.00937
764,1.8847,0.10505
764,0.6111,0.01131
764,0.3294,0.01039
765,0.1057,0.00242
765,1.1611,0.04448
765,0.2536,0.00468
765,0.1367,0.00213
765,0.1005,0.00168
765,0.1579,0.00141
765,0.2823,0.00953
765,0.4033,0.01087
766,0.4302,0.00771
766,0.6173,0.02193
766,0.0841,0.00157
766,0.0775,0.00065
766,0.5655,0.02450
766,0.2362,0.00613
766,0.4426,0.01246
766,1.2920,0.10888
767,0.2186,0.00789
767,0.6124,0.02113
767,0.1693,0.00486
767,0.0957,0.00205
767,1.6527,0.10445
767,0.2711,0.00749
767,0.0470,0.00062
767,1.1661,0.04525
768,0.0689,0.00115
768,0.6421,0.01573
768,0.1594,0.00400
768,0.7150,0.02632
768,0.4024,0.01474
768,0.3119,0.00724
768,0.0504,0.00036
768,0.4032,0.00874
769,0.3775,0.01425
769,0.8048,0.03726
769,0.7463,0.04259
769,0.7473,0.02810
769,0.7290,0.02590
769,0.3441,0.00797
769,0.0963,0.00142
769,0.8246,0.02996
770,0.6285,0.02000
770,0.1669,0.00298
770,0.1198,0.00103
770,0.0138,0.00011
770,6.4898,0.27854
770,0.7308,0.03381
770,0.2788,0.00742
770,0.4629,0.01685
771,0.2387,0.00416
771,0.5984,0.01722
771,0.0980,0.00179
771,0.1733,0.00347
771,0.3387,0.00949
771,0.2500,0.00565
771,1.1362,0.08945
771,0.3953,0.01248
772,0.3380,0.00709
772,0.5635,0.01324
772,0.9569,0.05222
772,0.1792,0.00355
772,0.0619,0.00070
772,0.3420,0.00931
772,0.0582,0.00071
772,0.1353,0.00241
773,0.6354,0.03721
773,2.3359,0.06831
773,0.0982,0.00078
773,0.1069,0.00109
773,0.2373,0.00777
773,0.0548,0.00060
773,0.5158,0.01518
773,0.0325,0.00035
774,0.4366,0.01239
774,0.5171,0.02071
774,0.6902,0.03436
774,0.1411,0.00271
774,1.1742,0.03179
774,1.0015,0.04907
774,0.5400,0.01534
774,0.2339,0.00781
775,0.3844,0.01053
775,0.1866,0.00423
775,1.7278,0.04917
775,0.1542,0.00361
775,0.4401,0.01693
775,0.7883,0.03126
775,0.2146,0.00393
775,0.0435,0.00046
776,0.1922,0.00591
776,0.0204,0.00020
776,1.1398,0.07333
776,6.4953,0.21395
776,1.2569,0.07512
776,0.2842,0.00275
776,0.1671,0.00471
776,0.3035,0.00409
777,0.3904,0.01431
777,0.0290,0.00034
777,0.4683,0.01600
777,0.3210,0.01111
777,0.1285,0.00294
777,2.0262,0.18003
777,0.1012,0.00149
777,0.3543,0.01258
778,0.1524,0.00237
778,0.0975,0.00185
778,0.3677,0.01157
778,1.0838,0.04653
778,0.4509,0.01460
778,0.7415,0.03586
778,0.3274,0.00485
778,0.0785,0.00122
779,0.1384,0.00200
779,0.4258,0.01490
779,0.0414,0.00063
779,0.4606,0.00930
779,0.5184,0.01486
779,2.2916,0.05767
779,0.1326,0.00359
779,0.6570,0.02301
780,0.9716,0.02481
780,2.0489,0.15269
780,0.8474,0.03797
780,0.0804,0.00124
780,0.0759,0.00105
780,0.0958,0.00185
780,0.4078,0.01090
780,0.3770,0.00595
781,0.1658,0.00316
781,1.4204,0.03943
781,0.1946,0.00472
781,0.8472,0.03729
781,0.1106,0.00207
781,0.1826,0.00399
781,0.9393,0.04657
781,2.7191,0.12375
782,0.1550,0.00269
782,0.3867,0.00990
782,0.0203,0.00020
782,0.2836,0.00738
782,0.1919,0.00367
782,0.6151,0.02804
782,1.9718,0.03316
782,0.1403,0.00262
783,0.1833,0.00451
783,0.3626,0.01038
783,0.2601,0.00770
783,0.4185,0.00832
783,0.4065,0.01387
783,0.0202,0.00016
783,2.3576,0.20943
783,0.2278,0.00584
784,0.0318,0.00042
784,0.1029,0.00223
784,0.2052,0.00588
784,0.0781,0.00136
784,1.1052,0.06994
784,1.6908,0.09033
784,1.7768,0.08942
784,0.4191,0.01314
785,0.4629,0.01443
785,0.1574,0.00278
785,0.0962,0.00133
785,1.4045,0.07526
785,0.1143,0.00249
785,0.0505,0.00080
785,0.1816,0.00343
785,0.2762,0.00613
786,0.1832,0.00255
786,0.1191,0.00197
786,0.4126,0.02118
786,0.1400,0.00346
786,0.1098,0.00205
786,0.7269,0.02854
786,0.3176,0.01021
786,0.2843,0.00825
787,0.4357,0.02217
787,1.3923,0.06338
787,1.9165,0.09159
787,0.2822,0.00801
787,0.5111,0.01207
787,2.2340,0.17958
787,2.4403,0.20930
787,0.6899,0.02854
788,0.1690,0.00348
788,0.0422,0.00053
788,0.3258,0.01426
788,0.0887,0.00148
788,0.0568,0.00082
788,0.7264,0.03989
788,3.2250,0.19858
788,0.4869,0.01419
789,1.0008,0.03096
789,0.1329,0.00238
789,0.2363,0.00568
789,0.3904,0.01009
789,0.6621,0.02623
789,0.0450,0.00036
789,0.0171,0.00011
789,0.1516,0.00295
790,2.2320,0.16244
790,3.0049,0.21377
790,0.1555,0.00466
790,0.6354,0.02946
790,0.5897,0.01037
790,0.6761,0.01700
790,1.2237,0.04578
790,0.4280,0.01612
791,1.3073,0.06949
791,0.1155,0.00246
791,2.7657,0.15628
791,1.0134,0.06108
791,0.0425,0.00046
791,0.2083,0.00488
791,0.3833,0.01525
791,0.4956,0.01353
792,0.4067,0.01218
792,0.2983,0.01013
792,0.0335,0.00044
792,0.4408,0.01582
792,0.2112,0.00356
792,0.2108,0.00496
792,0.5202,0.01510
792,1.1890,0.03849
793,1.0760,0.03216
793,1.0786,0.05627
793,0.3747,0.00862
793,0.9922,0.05776
793,3.6406,0.19436
793,0.1656,0.00262
793,0.3453,0.00781
793,0.5010,0.01070
794,1.0365,0.03433
794,0.4295,0.02454
794,0.0876,0.00177
794,0.0815,0.00109
794,5.1163,0.15805
794,0.2637,0.00739
794,1.8653,0.09104
794,0.0772,0.00071
795,0.1772,0.00243
795,0.5186,0.01751
795,1.5107,0.11702
795,0.0784,0.00057
795,0.4106,0.01043
795,0.2683,0.00559
795,0.5075,0.01438
795,0.5268,0.01671
796,43.7212,0.20644
796,0.0499,0.00032
796,0.4491,0.01948
796,0.2504,0.00653
796,0.2078,0.00580
796,0.0633,0.00098
796,0.8905,0.03858
796,0.5546,0.02154
797,1.2162,0.04896
797,1.1956,0.05912
797,0.4388,0.01889
797,0.0836,0.00177
797,0.2337,0.00646
797,0.0644,0.00070
797,0.6362,0.02332
797,0.3876,0.01347
798,0.1607,0.00430
798,0.1263,0.00269
798,0.2804,0.00939
798,0.3825,0.00978
798,0.5351,0.02550
798,0.2117,0.00504
798,1.0964,0.05892
798,0.0679,0.00111
799,0.3311,0.01096
799,0.9450,0.02748
799,1.8840,0.05553
799,0.3734,0.01315
799,0.0559,0.00094
799,0.1046,0.00212
799,0.3197,0.00578
799,0.3612,0.01082
800,0.0324,0.00030
800,0.1311,0.00225
800,0.0944,0.00158
800,1.9624,0.05591
800,0.7089,0.03203
800,0.0412,0.00060
800,0.2940,0.00810
800,1.1118,0.05373
801,0.5286,0.02551
801,0.3316,0.00811
801,1.3144,0.05406
801,0.2724,0.00890
801,0.1412,0.00319
801,0.0261,0.00025
801,0.0310,0.00039
801,1.3108,0.05290
802,0.5329,0.02310
802,0.1132,0.00267
802,0.0636,0.00081
802,0.2190,0.00607
802,0.1216,0.00297
802,0.0074,0.00004
802,0.0951,0.00111
802,0.1617,0.00451
803,0.9695,0.03565
803,0.4198,0.01464
803,0.5329,0.01568
803,0.1771,0.00382
803,0.0787,0.00122
803,0.8291,0.05578
803,0.4941,0.01395
803,0.9488,0.03388
804,0.1643,0.00437
804,0.7382,0.03538
804,1.6212,0.08201
804,0.0102,0.00007
804,0.7802,0.01470
804,0.7537,0.02442
804,0.7795,0.01631
804,0.4244,0.01379
805,0.2002,0.00636
805,1.0626,0.06931
805,0.8026,0.02922
805,0.1929,0.00517
805,0.4239,0.01234
805,0.0855,0.00142
805,1.2296,0.06163
805,0.6586,0.02237
806,0.0368,0.00037
806,0.2750,0.00453
806,0.0982,0.00162
806,1.6962,0.10486
806,0.1014,0.00127
806,0.0688,0.00113
806,0.1042,0.00187
806,2.7761,0.18840
807,5.3993,0.35792
807,0.0503,0.00046
807,0.0617,0.00111
807,0.5600,0.02316
807,0.2473,0.00617
807,1.7076,0.11515
807,0.3476,0.01174
807,0.0199,0.00014
808,0.3944,0.01141
808,0.2680,0.00563
808,0.8408,0.03566
808,1.7534,0.10644
808,0.0624,0.00057
808,0.1182,0.00179
808,0.9715,0.04421
808,0.0791,0.00116
809,0.8815,0.03516
809,0.2946,0.00633
809,3.3520,0.21616
809,0.2230,0.00423
809,0.0265,0.00018
809,2.2142,0.20585
809,0.1168,0.00165
809,0.4049,0.02053
810,0.0580,0.00077
810,0.2700,0.00770
810,0.1704,0.00418
810,0.7082,0.02010
810,0.2418,0.00505
810,0.1704,0.00165
810,0.2651,0.00618
810,0.0707,0.00060
811,0.3107,0.00979
811,0.4726,0.01722
811,0.1579,0.00216
811,0.3537,0.01459
811,0.0476,0.00045
811,0.0620,0.00091
811,0.1862,0.00489
811,0.6842,0.02488
812,0.4200,0.00678
812,0.4510,0.01447
812,0.2728,0.00578
812,4.1303,0.18290
812,0.0548,0.00057
812,0.8294,0.04371
812,0.0449,0.00038
812,0.5038,0.01042
813,0.4826,0.01922
813,0.0407,0.00033
813,0.5372,0.01831
813,0.9450,0.03316
813,3.0134,0.18301
813,0.5679,0.01513
813,0.2013,0.00586
813,0.3537,0.00682
814,0.2673,0.00641
814,0.5569,0.01158
814,0.1183,0.00117
814,0.1043,0.00099
814,0.4065,0.01615
814,0.1168,0.00136
814,0.3742,0.01868
814,0.7998,0.03740
815,1.1694,0.05104
815,0.0843,0.00083
815,0.1381,0.00249
815,0.4187,0.01204
815,0.3071,0.01192
815,0.6099,0.02627
815,0.4338,0.00935
815,0.2717,0.00562
816,0.0820,0.00106
816,0.7829,0.02745
816,0.1505,0.00347
816,0.6779,0.03003
816,0.3528,0.01058
816,0.0726,0.00098
816,1.3331,0.06606
816,0.0744,0.00118
817,0.5787,0.02827
817,0.2727,0.00632
817,0.2828,0.01087
817,0.3474,0.01050
817,0.4538,0.01360
817,0.0583,0.00050
817,0.3261,0.01198
817,0.4197,0.00547
818,0.0935,0.00163
818,0.1256,0.00218
818,0.5845,0.01884
818,3.9924,0.25383
818,0.4133,0.01395
818,0.2812,0.00461
818,0.1060,0.00170
818,0.0516,0.00053
819,0.1194,0.00235
819,0.0979,0.00156
819,0.1438,0.00295
819,0.7673,0.02020
819,0.6537,0.02975
819,0.4971,0.01516
819,0.1579,0.00302
819,0.5149,0.01342
820,0.4738,0.01725
820,0.9175,0.05892
820,0.1797,0.00292
820,1.0452,0.01797
820,0.2297,0.00575
820,0.3864,0.01234
820,0.6933,0.02067
820,0.3638,0.01173
821,0.3257,0.01058
821,0.0674,0.00105
821,0.3308,0.01487
821,0.3427,0.00531
821,0.6462,0.02140
821,1.3252,0.08126
821,0.2348,0.00604
821,0.0442,0.00057
822,0.1449,0.00320
822,0.6265,0.03576
822,0.1055,0.00187
822,0.1809,0.00338
822,0.0459,0.00048
822,0.0576,0.00083
822,0.1817,0.00654
822,0.3145,0.00956
823,0.1748,0.00342
823,0.7220,0.02449
823,0.0833,0.00208
823,0.4931,0.02725
823,0.0277,0.00030
823,0.1302,0.00303
823,0.5241,0.00872
823,0.2529,0.00695
824,0.7294,0.04350
824,0.2180,0.00634
824,0.0999,0.00080
824,0.1955,0.00465
824,0.0942,0.00146
824,0.1427,0.00193
824,0.0404,0.00040
824,0.1528,0.00504
825,0.5191,0.02032
825,0.5661,0.01356
825,0.1135,0.00120
825,0.5116,0.02140
825,0.1958,0.00256
825,0.1758,0.00388
825,0.1175,0.00150
825,0.0220,0.00011
826,0.1381,0.00301
826,2.9079,0.15103
826,0.7427,0.04294
826,0.1351,0.00268
826,0.5608,0.00979
826,0.0327,0.00019
826,0.6644,0.02717
826,0.6352,0.01689
827,11.0747,0.28215
827,0.1002,0.00140
827,1.5932,0.07558
827,0.0188,0.00014
827,1.8213,0.08842
827,0.1552,0.00301
827,0.2867,0.00817
827,0.1416,0.00417
828,0.1976,0.00380
828,0.0940,0.00171
828,0.2541,0.00756
828,0.0794,0.00063
828,0.6496,0.02319
828,1.4500,0.08830
828,0.2574,0.00746
828,0.1510,0.00285
829,0.0493,0.00052
829,0.5353,0.01236
829,0.6255,0.01878
829,0.0932,0.00127
829,0.1391,0.00154
829,0.0742,0.00073
829,0.3993,0.01194
829,0.0927,0.00189
830,0.1050,0.00170
830,2.4859,0.11211
830,0.0795,0.00143
830,0.1077,0.00181
830,0.0321,0.00023
830,0.3437,0.00778
830,0.0684,0.00116
830,0.2067,0.00431
831,0.6374,0.01255
831,0.6880,0.02744
831,0.0879,0.00121
831,1.3130,0.04000
831,0.1088,0.00114
831,0.0189,0.00013
831,0.7187,0.02451
831,0.9387,0.03493
832,2.0465,0.04559
832,0.7854,0.03602
832,43.5433,0.21035
832,0.2696,0.00999
832,0.2131,0.00374
832,0.2194,0.00430
832,0.9700,0.03230
832,0.0220,0.00021
833,0.0994,0.00168
833,0.4708,0.01323
833,0.0395,0.00041
833,0.0549,0.00065
833,1.0931,0.06174
833,0.9624,0.04298
833,0.5296,0.03057
833,0.1277,0.00169
834,0.6208,0.02534
834,0.1307,0.00201
834,0.2826,0.00780
834,0.0589,0.00072
834,2.5294,0.13816
834,0.3142,0.00955
834,0.6182,0.02532
834,0.2285,0.00450
835,0.2208,0.00541
835,1.6475,0.12475
835,0.7529,0.02156
835,1.9066,0.11161
835,0.0925,0.00226
835,0.1113,0.00186
835,0.9153,0.02949
835,0.8856,0.04637
836,0.6341,0.03105
836,0.0977,0.00180
836,0.1932,0.00512
836,0.0886,0.00126
836,1.5618,0.06041
836,0.6457,0.02348
836,0.0865,0.00172
836,0.1783,0.00360
837,0.0383,0.00044
837,0.3198,0.01160
837,0.0729,0.00118
837,2.2636,0.13695
837,0.9283,0.01958
837,0.4720,0.01704
837,1.9814,0.08966
837,0.2542,0.00675
838,0.0574,0.00035
838,0.6383,0.02839
838,0.0193,0.00016
838,0.3362,0.00920
838,0.3398,0.01018
838,0.0984,0.00169
838,0.2876,0.00898
838,0.1807,0.00400
839,0.5601,0.01743
839,0.4105,0.01298
839,0.3074,0.00938
839,0.0425,0.00043
839,0.4372,0.01527
839,0.4466,0.01678
839,0.1847,0.00451
839,0.3112,0.01043
840,0.2587,0.00398
840,1.0714,0.06190
840,0.1747,0.00380
840,0.1570,0.00279
840,0.4364,0.00991
840,0.1151,0.00198
840,0.6138,0.01850
840,0.3715,0.01153
841,0.1952,0.00542
841,0.2200,0.00458
841,1.2131,0.02389
841,0.3079,0.01106
841,0.1260,0.00211
841,0.4596,0.01370
841,0.1395,0.00312
841,0.5794,0.01871
842,0.8260,0.01981
842,4.5582,0.13466
842,1.2628,0.05877
842,0.0316,0.00031
842,0.1262,0.00189
842,0.0523,0.00051
842,0.1207,0.00203
842,0.1701,0.00387
843,3.2521,0.17554
843,0.0481,0.00058
843,0.1379,0.00227
843,0.1320,0.00191
843,0.3022,0.00713
843,0.3750,0.01448
843,4.4667,0.18913
843,1.4318,0.08164
844,0.0507,0.00053
844,0.1922,0.00205
844,0.9750,0.03403
844,0.2754,0.00888
844,1.0943,0.06064
844,0.4299,0.00852
844,0.6934,0.02645
844,1.0478,0.06430
845,0.2808,0.00753
845,2.9799,0.14915
845,0.2815,0.00871
845,1.0380,0.02612
845,0.0370,0.00034
845,0.0532,0.00079
845,0.0757,0.00130
845,1.2697,0.04737
846,1.4801,0.04131
846,0.0411,0.00049
846,0.7562,0.03539
846,0.1701,0.00235
846,0.4222,0.01692
846,0.0489,0.00054
846,0.1436,0.00336
846,0.1124,0.00155
847,0.2976,0.00775
847,0.0465,0.00057
847,1.2191,0.02286
847,1.4566,0.09156
847,0.0499,0.00050
847,1.3751,0.06079
847,0.0480,0.00050
847,0.0505,0.00079
848,0.7695,0.02261
848,16.5754,0.21486
848,0.3908,0.00823
848,0.0555,0.00063
848,0.9612,0.04174
848,0.0915,0.00174
848,0.1511,0.00281
848,0.2074,0.00327
849,0.6271,0.02977
849,0.1668,0.00385
849,0.7955,0.03552
849,0.7195,0.02381
849,0.0801,0.00095
849,0.3349,0.01141
849,0.0292,0.00029
849,0.1924,0.00431
850,0.4233,0.00690
850,0.1421,0.00191
850,0.4993,0.01761
850,5.9581,0.31576
850,1.0913,0.04992
850,0.0208,0.00015
850,0.4138,0.01407
850,0.7938,0.03311
851,0.0575,0.00072
851,0.2477,0.00794
851,1.5350,0.17659
851,0.4776,0.02065
851,0.3102,0.00989
851,0.0459,0.00058
851,0.5395,0.01864
851,0.1307,0.00176
852,0.2909,0.01380
852,0.1912,0.00338
852,0.2454,0.00636
852,0.7917,0.02057
852,2.0492,0.11443
852,0.2149,0.00297
852,0.7040,0.01929
852,0.2113,0.00353
853,1.8054,0.04572
853,0.6610,0.01379
853,0.5175,0.01434
853,0.2506,0.00578
853,0.1249,0.00168
853,3.4747,0.14996
853,1.7883,0.09194
853,0.6512,0.01577
854,0.2011,0.00504
854,0.3074,0.00924
854,0.2142,0.00760
854,0.4423,0.01852
854,2.0207,0.09363
854,0.3749,0.01011
854,0.2231,0.00644
854,0.7720,0.02404
855,0.4809,0.01095
855,0.2534,0.00603
855,0.0855,0.00106
855,0.4051,0.01727
855,0.1842,0.00275
855,0.2051,0.00718
855,0.1954,0.00521
855,0.4400,0.01796
856,0.1563,0.00374
856,1.2785,0.02591
856,0.0561,0.00069
856,1.4647,0.09724
856,0.2370,0.00533
856,0.1467,0.00544
856,0.0734,0.00056
856,0.7635,0.02151
857,0.7643,0.02899
857,1.5498,0.08496
857,0.3951,0.01403
857,0.3695,0.01231
857,0.0111,0.00008
857,0.1007,0.00146
857,0.2097,0.00435
857,0.0446,0.00050
858,0.0449,0.00045
858,0.2082,0.00525
858,0.1194,0.00144
858,0.0741,0.00137
858,0.3098,0.00714
858,0.0851,0.00155
858,1.3554,0.06698
858,1.3065,0.05695
859,0.1808,0.00478
859,0.5260,0.01827
859,1.7236,0.05702
859,0.2224,0.00568
859,0.3281,0.00965
859,0.0814,0.00111
859,1.6658,0.11134
859,0.0764,0.00097
860,0.1399,0.00377
860,0.2969,0.00690
860,0.3760,0.00951
860,0.1263,0.00288
860,0.4298,0.01078
860,0.0600,0.00079
860,0.3188,0.00821
860,1.3425,0.07263
861,0.2447,0.00577
861,0.1443,0.00343
861,0.0515,0.00051
861,0.0236,0.00018
861,0.0045,0.00002
861,0.8227,0.03044
861,0.3706,0.01996
861,0.1576,0.00340
862,2.0085,0.12690
862,0.8248,0.03368
862,0.1539,0.00277
862,0.0566,0.00086
862,0.0678,0.00064
862,0.5757,0.01721
862,0.2501,0.00413
862,1.3772,0.08725
863,7.9623,0.21380
863,0.5316,0.01597
863,0.4684,0.01474
863,0.2992,0.00537
863,1.0835,0.04187
863,0.2850,0.00528
863,0.9870,0.06508
863,0.1515,0.00269
864,0.5844,0.02981
864,5.7090,0.23019
864,0.2551,0.00739
864,0.0961,0.00100
864,0.6723,0.02536
864,3.1813,0.17467
864,0.0562,0.00046
864,0.2866,0.00744
865,0.4688,0.01000
865,0.1310,0.00233
865,0.3378,0.00962
865,0.1352,0.00230
865,0.7128,0.04074
865,0.2631,0.00455
865,0.1601,0.00374
865,0.1733,0.00356
866,0.2059,0.00563
866,0.1244,0.00185
866,0.2081,0.00557
866,0.8018,0.02991
866,0.6675,0.03519
866,0.1161,0.00188
866,0.0396,0.00026
866,0.1547,0.00334
867,0.4253,0.01583
867,0.1361,0.00247
867,1.0497,0.04128
867,0.5669,0.01919
867,0.2948,0.00534
867,1.2780,0.03328
867,0.1791,0.00306
867,0.2308,0.00490
868,0.1711,0.00419
868,0.2080,0.00598
868,2.0701,0.12149
868,0.2717,0.00577
868,0.0249,0.00020
868,0.1976,0.00614
868,0.7940,0.03648
868,0.0748,0.00070
869,0.2188,0.00401
869,0.5208,0.02424
869,0.0769,0.00078
869,1.1221,0.03991
869,0.1337,0.00208
869,0.1586,0.00292
869,3.8637,0.19438
869,0.1741,0.00379
870,0.4545,0.01395
870,0.1645,0.00385
870,1.1070,0.03692
870,0.6866,0.01197
870,0.6693,0.02520
870,0.2935,0.00615
870,0.0999,0.00197
870,0.0476,0.00048
871,6.0139,0.16641
871,0.1514,0.00317
871,0.1556,0.00254
871,0.0382,0.00030
871,0.7830,0.02896
871,0.0791,0.00103
871,1.3197,0.06853
871,0.2634,0.00826
872,1.5974,0.09791
872,0.0293,0.00034
872,0.4441,0.02061
872,0.1336,0.00210
872,0.0984,0.00145
872,0.1217,0.00223
872,0.3105,0.00912
872,0.2407,0.00313
873,0.0477,0.00049
873,0.1378,0.00339
873,0.1150,0.00218
873,0.2100,0.00541
873,3.2363,0.27716
873,0.3179,0.00560
873,0.8753,0.06031
873,0.4636,0.01505
874,0.3454,0.00992
874,1.1569,0.07310
874,0.2595,0.00805
874,0.3576,0.00776
874,0.8569,0.05088
874,1.0007,0.04538
874,0.5969,0.02187
874,0.3245,0.00784
875,0.0404,0.00025
875,4.5233,0.17093
875,0.1821,0.00206
875,0.1566,0.00277
875,0.2703,0.00651
875,1.9623,0.05297
875,1.7934,0.06169
